Edad,COD,Quarter of fecha,Avg. Tasa Paro
Todas las edades,EPA452434,2002 Q1,11.55
Todas las edades,EPA452434,2002 Q2,11.15
Todas las edades,EPA452434,2002 Q3,11.49
Todas las edades,EPA452434,2002 Q4,11.61
Todas las edades,EPA452434,2003 Q1,11.99
Todas las edades,EPA452434,2003 Q2,11.28
Todas las edades,EPA452434,2003 Q3,11.3
Todas las edades,EPA452434,2003 Q4,11.37
Todas las edades,EPA452434,2004 Q1,11.5
Todas las edades,EPA452434,2004 Q2,11.09
Todas las edades,EPA452434,2004 Q3,10.74
Todas las edades,EPA452434,2004 Q4,10.53
Todas las edades,EPA452434,2005 Q1,10.17
Todas las edades,EPA452434,2005 Q2,9.32
Todas las edades,EPA452434,2005 Q3,8.41
Todas las edades,EPA452434,2005 Q4,8.71
Todas las edades,EPA452434,2006 Q1,9.03
Todas las edades,EPA452434,2006 Q2,8.44
Todas las edades,EPA452434,2006 Q3,8.08
Todas las edades,EPA452434,2006 Q4,8.26
Todas las edades,EPA452434,2007 Q1,8.42
Todas las edades,EPA452434,2007 Q2,7.93
Todas las edades,EPA452434,2007 Q3,8.01
Todas las edades,EPA452434,2007 Q4,8.57
Todas las edades,EPA452434,2008 Q1,9.6
Todas las edades,EPA452434,2008 Q2,10.36
Todas las edades,EPA452434,2008 Q3,11.23
Todas las edades,EPA452434,2008 Q4,13.79
Todas las edades,EPA452434,2009 Q1,17.24
Todas las edades,EPA452434,2009 Q2,17.77
Todas las edades,EPA452434,2009 Q3,17.75
Todas las edades,EPA452434,2009 Q4,18.66
Todas las edades,EPA452434,2010 Q1,19.84
Todas las edades,EPA452434,2010 Q2,19.89
Todas las edades,EPA452434,2010 Q3,19.59
Todas las edades,EPA452434,2010 Q4,20.11
Todas las edades,EPA452434,2011 Q1,21.08
Todas las edades,EPA452434,2011 Q2,20.64
Todas las edades,EPA452434,2011 Q3,21.28
Todas las edades,EPA452434,2011 Q4,22.56
Todas las edades,EPA452434,2012 Q1,24.19
Todas las edades,EPA452434,2012 Q2,24.4
Todas las edades,EPA452434,2012 Q3,24.79
Todas las edades,EPA452434,2012 Q4,25.77
Todas las edades,EPA452434,2013 Q1,26.94
Todas las edades,EPA452434,2013 Q2,26.06
Todas las edades,EPA452434,2013 Q3,25.65
Todas las edades,EPA452434,2013 Q4,25.73
Todas las edades,EPA452434,2014 Q1,25.93
Todas las edades,EPA452434,2014 Q2,24.47
Todas las edades,EPA452434,2014 Q3,23.67
Todas las edades,EPA452434,2014 Q4,23.7
Todas las edades,EPA452434,2015 Q1,23.78
Todas las edades,EPA452434,2015 Q2,22.37
Todas las edades,EPA452434,2015 Q3,21.18
Todas las edades,EPA452434,2015 Q4,20.9
Todas las edades,EPA452434,2016 Q1,21
Todas las edades,EPA452434,2016 Q2,20
Todas las edades,EPA452434,2016 Q3,18.91
Todas las edades,EPA452434,2016 Q4,18.63
Todas las edades,EPA452434,2017 Q1,18.75
Todas las edades,EPA452434,2017 Q2,17.22
Todas las edades,EPA452434,2017 Q3,16.38
Todas las edades,EPA452434,2017 Q4,16.55
Todas las edades,EPA452434,2018 Q1,16.74
Todas las edades,EPA452434,2018 Q2,15.28
Todas las edades,EPA452434,2018 Q3,14.55
Todas las edades,EPA452434,2018 Q4,14.45
Todas las edades,EPA452434,2019 Q1,14.7
Todas las edades,EPA452434,2019 Q2,14.02
Todas las edades,EPA452434,2019 Q3,13.92
Todas las edades,EPA452434,2019 Q4,13.78
Todas las edades,EPA452434,2020 Q1,14.41
Todas las edades,EPA452434,2020 Q2,15.33
Todas las edades,EPA452434,2020 Q3,16.26
Todas las edades,EPA452434,2020 Q4,16.13
Todas las edades,EPA452434,2021 Q1,16.14
Todas las edades,EPA452434,2021 Q2,15.39
Todas las edades,EPA452434,2021 Q3,14.71
Todas las edades,EPA452434,2021 Q4,13.44
Todas las edades,EPA452434,2022 Q1,13.73
Todas las edades,EPA452434,2022 Q2,12.69
Todas las edades,EPA452434,2022 Q3,12.73
Todas las edades,EPA452434,2022 Q4,12.99
Todas las edades,EPA452434,2023 Q1,13.38
Todas las edades,EPA452434,2023 Q2,11.67
Todas las edades,EPA452434,2023 Q3,11.89
Todas las edades,EPA452434,2023 Q4,11.8
Todas las edades,EPA452434,2024 Q1,12.29
